Drug_name,Promiscuity_index
fedratinib,275
sunitinib,266
nintedanib,220
midostaurin,205
bosutinib,200
crizotinib,150
ruxolitinib,128
dasatinib,128
sorafenib,122
ruboxistaurin,118
vandetanib,109
pazopanib,105
quercetin,105
neratinib,103
erlotinib,99
axitinib,99
gefitinib,76
imatinib,73
nilotinib,72
clotrimazole,61
chlorpromazine,58
tamoxifen,58
astemizole,54
miconazole,54
amiodarone,53
econazole,52
fluphenazine,45
thioridazine,44
clozapine,42
haloperidol,41
diethylstilbestrol,39
afatinib,38
risperidone,38
quizartinib,38
tofacitinib,37
olanzapine,37
raloxifene,36
amitriptyline,36
ceritinib,35
quetiapine,35
aripiprazole,35
ziprasidone,35
disulfiram,33
zotepine,33
promethazine,32
flunarizine,32
mianserin,32
verapamil,32
ebastine,32
ketoconazole,32
cyproheptadine,31
infigratinib,31
pimozide,31
isoprenaline,31
loxapine,30
asenapine,30
celecoxib,30
propafenone,29
pentamidine,29
bortezomib,29
prochlorperazine,29
promazine,29
clomifene,29
carvedilol,28
hexachlorophene,28
nortriptyline,28
paliperidone,28
nifedipine,28
amoxapine,28
bithionol,27
sulconazole,27
thiothixene,27
ergotamine,27
fluphenazine enanthate,27
doxepin,27
maprotiline,27
clomipramine,27
dobutamine,26
loperamide,26
mezlocillin,26
metergoline,26
clemastine,26
domperidone,25
ketanserin,25
gentian violet,25
imipramine,25
ibrutinib,25
fluoxetine,25
desipramine,24
mitoxantrone,24
oxiconazole,24
orphenadrine,24
brexpiprazole,24
glutamic acid,24
dihydroergotamine,24
methysergide,24
iloperidone,24
sertindole,23
lisuride,23
trazodone,23
montelukast,22
spiperone,22
danazol,22
terfenadine,22
trifluoperazine,22
yohimbine,22
benzatropine,21
cinnarizine,21
apomorphine,21
bromocriptine,21
penfluridol,21
ponatinib,21
terconazole,21
suloctidil,20
prazosin,20
fenfluramine,20
dihydroergocristine,20
dexfenfluramine,20
cefapirin,20
thiomersal,20
cisapride,20
pergolide,20
ketotifen,19
lapatinib,19
flufenamic acid,19
paroxetine,19
sertraline,19
terguride,19
zafirlukast,19
vorinostat,19
indomethacin,19
ciclosporin,19
propranolol,19
fluspirilene,19
benzethonium,19
nelfinavir,18
oxymetazoline,18
tubocurarine,18
topiramate,18
progesterone,18
cianidanol,18
pecazine,18
pipamazine,18
quinidine,18
sildenafil,18
desloratadine,18
diazepam,18
xanomeline,18
diphenhydramine,17
ethinylestradiol,17
droperidol,17
doxorubicin,17
valdecoxib,17
cabergoline,17
famotidine,17
entrectinib,17
tretinoin,17
mepacrine,17
dexchlorpheniramine,16
lysergide,16
dipyridamole,16
rosiglitazone,16
dopamine,16
ritonavir,16
diclofenac,16
mirtazapine,16
dimenhydrinate,16
perphenazine,16
suramin,16
adenosine triphosphate,16
phentolamine,16
cocaine,16
alpha-ergocryptine,16
pipamperone,16
mibefradil,16
acetazolamide,16
thiethylperazine,16
furosemide,16
irinotecan,15
amlodipine,15
haloprogin,15
buspirone,15
mexiletine,15
nafamostat,15
zonisamide,15
niclosamide,15
duloxetine,15
nicotine,15
troglitazone,15
mesoridazine,15
estradiol,15
paclitaxel,15
chloroquine,15
perhexiline,15
pyrithione,15
cyclizine,15
flunitrazepam,15
hydroxychloroquine,15
nimodipine,15
molindone,15
melperone,14
triazolam,14
lacosamide,14
pyrithione zinc,14
ivermectin,14
papaverine,14
methotrexate,14
methazolamide,14
protriptyline,14
cyclobenzaprine,14
silymarin,14
dicycloverine,14
vortioxetine,14
doxazosin,14
mifepristone,14
metoclopramide,14
cabozantinib,14
cisplatin,14
chlorprothixene,14
methapyrilene,14
paracetamol,14
methylergometrine,13
indapamide,13
pramipexole,13
tannic acid,13
candesartan cilexetil,13
sulpiride,13
cyamemazine,13
cariprazine,13
nefazodone,13
romidepsin,13
aspartic acid,13
masoprocol,13
ergometrine,13
retinol,13
ethoxzolamide,13
tropisetron,13
orlistat,13
ropinirole,13
dinoprostone,13
saquinavir,13
mosapride,13
tacrolimus,13
oleic acid,13
ticlopidine,12
bromperidol,12
lorlatinib,12
nitrendipine,12
norepinephrine,12
guanabenz,12
chlortalidone,12
adenosine,12
dorzolamide,12
dosulepin,12
lofepramine,12
benzbromarone,12
sirolimus,12
belinostat,12
lovastatin,12
sulfanilamide,12
sulfasalazine,12
dichlorphenamide,12
propiomazine,12
flupentixol,12
panobinostat,12
sumatriptan,12
isotretinoin,12
chlorphenamine,12
citalopram,12
topotecan,12
phenelzine,12
olaparib,11
enoxolone,11
medroxyprogesterone,11
diphenidol,11
epinephrine,11
femoxetine,11
bexarotene,11
mepyramine,11
flumazenil,11
tacrine,11
propofol,11
tranylcypromine,11
amiloride,11
amisulpride,11
tirilazad,11
zoledronic acid,11
piribedil,11
gossypol,11
gabexate,11
clonidine,11
primaquine,11
brinzolamide,11
linoleic acid,11
diltiazem,11
mecamylamine,11
ondansetron,11
oxybutynin,11
reserpine,11
mefenamic acid,11
atropine,11
trientine,11
regorafenib,11
trichlormethiazide,11
dabigatran etexilate,11
rabeprazole,11
coumarin,11
omeprazole,10
salicylic acid,10
meclofenamic acid,10
fasudil,10
midazolam,10
fenofibrate,10
mitotane,10
benzocaine,10
niraparib,10
dexamfetamine,10
mafenide,10
dexniguldipine,10
eszopiclone,10
auranofin,10
trilaciclib,10
rucaparib,10
aripiprazole lauroxil,10
epinastine,10
lenvatinib,10
prednisolone,10
kainic acid,10
telaprevir,10
bupivacaine,10
gabapentin,10
methaqualone,10
talipexole,10
alitretinoin,10
palbociclib,10
alprostadil,10
lamotrigine,10
tivozanib,10
pralsetinib,10
terazosin,10
dronabinol,10
dronedarone,10
zolpidem,9
thioguanine,9
ropivacaine,9
donepezil,9
disopyramide,9
vardenafil,9
menadione,9
ditiocarb,9
ibuprofen,9
choline theophyllinate,9
thiram,9
tetracaine,9
pindolol,9
methamphetamine,9
etoposide,9
nisoldipine,9
azelastine,9
lumateperone,9
estrone,9
dexrabeprazole,9
carbamazepine,9
carfilzomib,9
estradiol benzoate,9
theophylline,9
phenylpropanolamine,9
hydroquinone,9
atomoxetine,9
vilazodone,9
colchicine,9
niflumic acid,9
nicotinamide,9
nicardipine,9
boceprevir,9
sulindac,9
labetalol,9
bupropion,9
pemetrexed,9
prednisolone tebutate,9
glibenclamide,9
lidocaine,9
dabrafenib,9
camostat,9
bufylline,9
losartan,9
felodipine,9
bepridil,9
loratadine,9
tamsulosin,9
zopiclone,8
zileuton,8
laropiprant,8
ifenprodil,8
vecuronium,8
norfloxacin,8
ximelagatran,8
dinoprost,8
sibutramine,8
rizatriptan,8
melatonin,8
alcuronium,8
rutoside,8
clorotepine,8
fulvestrant,8
lacidipine,8
amsacrine,8
levobupivacaine,8
darifenacin,8
lansoprazole,8
docetaxel,8
isoflurane,8
itraconazole,8
linolenic acid,8
filgotinib,8
cycloserine,8
flibanserin,8
dapiprazole,8
chlordiazepoxide,8
nomifensine,8
reboxetine,8
guanfacine,8
strychnine,8
