,betweenness,pagerank,clustering,closeness,raw_degree,is_high_risk,risk_score
M6PR,0.0,4.436447115561397e-05,1.0,0.15508405859988433,2,0,0.0
IGF2R,0.0002565642121030758,0.0001383534225855646,0.14285714285714285,0.1713207510534197,8,0,0.01
GGA3,0.0009134444021064954,0.00013049903225902568,0.2777777777777778,0.18313890972097735,9,0,0.01
FKBP4,0.00022849189583512902,0.00011480569356610846,0.5277777777777778,0.18463497405390927,9,0,0.02
PGR,8.280432102729836e-05,9.714645190342085e-05,0.2857142857142857,0.1861733074866629,8,0,0.0
FKBP5,0.00041052954138810055,0.0001272918693489737,0.4888888888888889,0.18935856646301805,10,0,0.09
HSP90AB1,0.017869564913805015,0.0006574107175225898,0.09409701928696669,0.22551752507922626,59,1,1.0
HSP90AA1,0.024109092707576493,0.0007769159442507971,0.07372229760289462,0.22737771434714774,67,1,1.0
MTOR,0.0016567982967754572,0.0003387628768889456,0.2276923076923077,0.17110707219580001,26,1,0.69
PHLPP1,9.593434321045076e-05,8.014875318813059e-05,0.3333333333333333,0.16774020191715197,4,0,0.0
PTGES3,0.002567781867616157,0.00030392816444547673,0.32386363636363635,0.18986441651182492,33,1,0.91
HSPA4,0.006355795100423453,0.0004844863391774151,0.1066066066066066,0.2109755524130897,37,1,1.0
NR3C1,0.000449243403986063,0.00012787092235949863,0.3090909090909091,0.19118121017054707,11,0,0.0
CYP26B1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
CYP26A1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
CYP26C1,0.0,0.00011486331265793706,1.0,0.00022975301550832856,2,0,0.0
FUCA2,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
FUCA1,0.0,0.00011486331265793706,0.0,0.00011487650775416428,1,0,0.0
SEMA3F,0.0,8.068211838097757e-05,0.8333333333333334,0.14902706702259502,4,0,0.0
PLXNA1,0.00010527908030780104,0.0001593374627816944,0.35714285714285715,0.14924197184259874,8,0,0.0
NRP1,0.0018393549010653127,0.0004315100420891107,0.09881422924901186,0.18183488752303806,23,0,0.25
NRP2,0.00043298276067354894,0.00021855375938440106,0.24358974358974358,0.1684683407877085,13,0,0.02
PLXNA3,9.92062442544812e-06,0.00011377327334071036,0.3333333333333333,0.14922687058314743,6,0,0.0
CFTR,0.001035257310979494,0.00012578149908064117,0.07142857142857142,0.18630854375840575,8,0,0.0
TJP1,0.007779856931510685,0.000712932193201045,0.07686274509803921,0.1960285588350248,51,1,0.99
YWHAB,0.0004912680417057712,0.00019552703900326863,0.34615384615384615,0.182036888879294,13,0,0.04
FLNA,0.0013973207176903788,0.0002780197414302545,0.16842105263157894,0.18428889162831616,20,0,0.02
YWHAG,0.0005482901790123434,0.00017043036720510913,0.3090909090909091,0.17120639136935226,11,0,0.0
YWHAZ,0.0023766418840026116,0.0003258526655282912,0.1422924901185771,0.19745238388748163,23,0,0.09
SLC9A3R1,0.0021242221068255933,0.00018739230818655645,0.13333333333333333,0.1659144261291633,10,0,0.0
GOPC,1.2352223633522587e-05,4.914710342123288e-05,0.0,0.15310772200219058,2,0,0.0
USP28,2.201901169626686e-05,5.6049479753074674e-05,0.6666666666666666,0.18422558386753696,6,0,0.0
TP53BP1,0.0033181731590974147,0.00030259947848069974,0.432996632996633,0.20388081222860305,55,1,1.0
